n;Recursiva;TailRec;Iterativa
0;0;3;0
1;0;0;0
2;0;0;0
3;0;0;0
4;0;0;0
5;0;0;0
6;0;0;0
7;0;0;0
8;0;0;0
9;0;0;0
10;0;0;0
11;0;0;0
12;0;0;0
13;0;0;0
14;0;0;0
15;0;8;0
16;0;0;0
17;0;2;1
18;0;2;0
19;0;1;0
20;0;1;0
21;0;2;1
22;0;3;1
23;0;3;1
24;0;3;1
25;0;6;2
26;0;2;1
27;1;3;4
28;0;3;2
29;0;4;2
30;1;7;2
31;1;3;4
32;1;6;2
33;2;5;6
34;2;4;2
35;3;8;3
36;5;4;5
37;5;4;3
38;5;7;3
39;10;7;3
40;8;4;5
41;10;5;6
42;19;4;9
43;19;4;3
44;19;4;3
45;37;4;3
46;37;5;3
47;37;5;4
48;71;5;4
49;72;6;4
50;71;6;4
51;138;6;4
52;137;5;4
53;137;6;4
54;265;6;5
55;265;5;5
56;265;6;4
57;512;11;5
58;512;5;5
59;410;6;5
60;793;5;4
61;1053;8;6
62;801;6;5
63;1922;9;6
64;1930;8;6
65;1522;5;4
66;2938;5;4
67;2938;11;5
68;2950;7;5
69;6098;9;5
70;5986;7;5
71;6378;8;6
72;11713;8;6
73;11444;8;6
74;11542;9;5
75;21931;12;12
76;22243;10;5
77;22029;14;7
78;42473;11;6
79;42464;12;6
80;42136;13;7
81;82680;13;6
82;80890;13;7
83;79658;16;14
84;156429;13;7
85;153141;13;7
86;154475;13;7
87;296816;14;7
88;302579;16;8
89;293247;13;7
90;567129;13;14
91;563114;14;7
92;564382;14;7
93;1093045;15;7
94;1089104;14;7
95;1088436;15;8
96;2100843;16;11
97;2095941;18;10
98;2094023;17;8
99;4041606;21;8
100;4048094;19;11
